city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population,estimated_population_2019,is_last,order_for_place,place_type,state
Campo Alegre do Fidalgo,2202117,404,7970.01381,2022-03-26,0.005,2,5069,5045,True,665,city,PI
Campo Grande do Piauí,2202133,518,8683.98994,2022-03-26,0.0212,11,5965,5943,True,677,city,PI
Campo Largo do Piauí,2202174,519,7098.89208,2022-03-26,0.0154,8,7311,7279,True,670,city,PI
Campo Maior,2202208,6817,14537.35099,2022-03-26,0.0246,168,46893,46833,True,719,city,PI
Canavieira,2202251,305,7733.26572,2022-03-26,0.023,7,3944,3950,True,560,city,PI
Canto do Buriti,2202307,1604,7545.39467,2022-03-26,0.0312,50,21258,21187,True,697,city,PI
Capitão de Campos,2202406,852,7444.29882,2022-03-26,0.0352,30,11445,11417,True,673,city,PI
Capitão Gervásio Oliveira,2202455,144,3500.24307,2022-03-26,0.0764,11,4114,4100,True,671,city,PI
Caracol,2202505,442,4031.37541,2022-03-26,0.0385,17,10964,10916,True,709,city,PI
Caraúbas do Piauí,2202539,194,3293.71817,2022-03-26,0.0619,12,5890,5868,True,664,city,PI
Caridade do Piauí,2202554,749,14729.59685,2022-03-26,0.0067,5,5085,5067,True,654,city,PI
Castelo do Piauí,2202604,2249,11407.5577,2022-03-26,0.0173,39,19715,19716,True,699,city,PI
Caxingó,2202653,157,2880.20547,2022-03-26,0.0127,2,5451,5424,True,659,city,PI
Cocal,2202703,1568,5631.17256,2022-03-26,0.0319,50,27845,27787,True,688,city,PI
Cocal de Telha,2202711,625,12757.70565,2022-03-26,0.0208,13,4899,4891,True,684,city,PI
Cocal dos Alves,2202729,425,6890.40208,2022-03-26,0.0165,7,6168,6153,True,690,city,PI
Coivaras,2202737,340,8432.53968,2022-03-26,0.0176,6,4032,4020,True,685,city,PI
Colônia do Gurguéia,2202752,690,10589.3186,2022-03-26,0.0203,14,6516,6484,True,702,city,PI
Colônia do Piauí,2202778,770,10050.90719,2022-03-26,0.0065,5,7661,7656,True,690,city,PI
Conceição do Canindé,2202802,527,10963.1787,2022-03-26,0.0133,7,4807,4803,True,629,city,PI
Coronel José Dias,2202851,131,2796.15795,2022-03-26,0.0458,6,4685,4682,True,639,city,PI
Corrente,2202901,2065,7731.47628,2022-03-26,0.0169,35,26709,26644,True,695,city,PI
Cristalândia do Piauí,2203008,70,841.04289,2022-03-26,0.0571,4,8323,8294,True,603,city,PI
Cristino Castro,2203107,1059,10139.79318,2022-03-26,0.0123,13,10444,10423,True,669,city,PI
Curimatá,2203206,1212,10607.38666,2022-03-26,0.0149,18,11426,11388,True,673,city,PI
Currais,2203230,386,7769.72625,2022-03-26,0.0078,3,4968,4954,True,685,city,PI
Curralinhos,2203255,509,11415.1155,2022-03-26,0.0059,3,4459,4443,True,664,city,PI
Curral Novo do Piauí,2203271,309,5757.40637,2022-03-26,0.0065,2,5367,5343,True,666,city,PI
Demerval Lobão,2203305,3806,27500.0,2022-03-26,0.0102,39,13840,13817,True,706,city,PI
Dirceu Arcoverde,2203354,308,4381.84664,2022-03-26,0.0325,10,7029,7011,True,676,city,PI
Dom Expedito Lopes,2203404,655,9462.58307,2022-03-26,0.0183,12,6922,6904,True,681,city,PI
Domingos Mourão,2203420,276,6338.99862,2022-03-26,0.0145,4,4354,4355,True,669,city,PI
Dom Inocêncio,2203453,321,3355.98536,2022-03-26,0.0218,7,9565,9556,True,674,city,PI
Elesbão Veloso,2203503,716,4912.52144,2022-03-26,0.0461,33,14575,14602,True,696,city,PI
Eliseu Martins,2203602,301,6105.47667,2022-03-26,0.0532,16,4930,4915,True,621,city,PI
Esperantina,2203701,2945,7390.58422,2022-03-26,0.0316,93,39848,39737,True,705,city,PI
Fartura do Piauí,2203750,189,3553.29949,2022-03-26,0.0317,6,5319,5307,True,695,city,PI
Flores do Piauí,2203800,188,4213.35724,2022-03-26,0.0266,5,4462,4463,True,655,city,PI
Floresta do Piauí,2203859,101,3945.3125,2022-03-26,0.0396,4,2560,2558,True,651,city,PI
Floriano,2203909,9801,16328.19658,2022-03-26,0.0184,180,60025,59935,True,703,city,PI
Francinópolis,2204006,76,1421.35777,2022-03-26,0.0789,6,5347,5348,True,705,city,PI
Francisco Ayres,2204105,436,10085.58871,2022-03-26,0.0161,7,4323,4348,True,692,city,PI
Francisco Macedo,2204154,501,15656.25,2022-03-26,0.012,6,3200,3184,True,610,city,PI
Francisco Santos,2204204,692,7383.69612,2022-03-26,0.0116,8,9372,9319,True,689,city,PI
